edge,vehicle_count,average_speed,min_speed,max_speed,congestion
:B2_5,1,0.07800012260410186,0.0,2.3400036781230558,HIGH
:B1_7,2,0.40968996148595066,0.0,2.8188973965745974,HIGH
:A1_2,1,0.46485210413084593,0.0278766076585544,1.5281183526180553,HIGH
:A1_5,2,0.5351821638937021,0.0,3.547016405798756,HIGH
:B2_8,1,0.5676655055817742,0.0096921311344463,2.201843147822,HIGH
:B1_14,6,0.8147616279652022,0.0,5.902022875785999,HIGH
:B0_7,10,0.8327692299939714,0.0,7.4964881020934335,HIGH
:C1_8,2,0.9537852522529978,0.1720020699484648,1.6623426989771863,HIGH
:B2_2,2,0.9603645905947054,0.0,3.42224,HIGH
:B2_1,4,1.2290229581716003,0.0,6.52893607436854,HIGH
:B1_21,1,2.055759259398058,2.055759259398058,2.055759259398058,HIGH
:B1_6,2,2.0754696054616946,1.877716749114916,2.273222461808473,HIGH
:B1_19,3,2.179299811305888,1.5647131602512674,2.6109682657883315,HIGH
:C1_4,6,2.2900501380861096,0.1097518541137634,4.785814391422389,HIGH
:C1_11,1,2.3491727360746846,2.157335097366348,2.541010374783021,HIGH
:B1_17,1,2.373854769119881,2.373854769119881,2.373854769119881,HIGH
:A1_12,1,2.475246057974156,2.065220809705071,2.885271306243241,HIGH
:B2_12,5,2.564126699764739,1.598549862497251,3.378523795191273,HIGH
:B2_10,2,2.5739383151129633,2.200102639873512,2.9477739903524145,HIGH
:A1_10,3,2.578590591239368,1.4170557736225695,3.248784798261039,HIGH
:B0_9,4,2.6765374405209963,1.871866580057256,3.684966344665549,HIGH
:C1_12,3,2.7879474109165314,2.348247681528554,3.474521129442909,HIGH
:A1_11,7,2.8176258722306766,2.4163867155021803,3.768625,HIGH
:B1_3,1,2.851540650699924,2.851540650699924,2.851540650699924,HIGH
:B2_11,4,2.856566444878653,1.7886252077529208,3.608218935562484,HIGH
:A2_1,11,2.9335953623146627,1.6979926855181902,3.8101874992386247,HIGH
:B0_12,1,2.9729062616406248,2.9729062616406248,2.9729062616406248,HIGH
:A0_1,5,3.010874270398423,2.493018630094677,3.888905635481663,HIGH
:C2_1,6,3.0975062424850357,2.731164160212364,3.626768527814336,HIGH
:C0_0,8,3.1077205954682823,2.602174920737258,3.719954889633916,HIGH
:B0_2,2,3.312504209289383,3.013805,3.611203418578766,HIGH
:C1_9,2,3.318189188306369,3.2886957981102167,3.347682578502521,HIGH
:B1_11,1,3.33829,3.33829,3.33829,HIGH
:C1_2,1,3.3946984989003464,3.3946984989003464,3.3946984989003464,HIGH
:B1_23,1,3.4071149881710205,3.048110457036272,3.766119519305769,HIGH
:B0_10,1,3.4655728339865064,3.4655728339865064,3.4655728339865064,HIGH
:A1_1,10,3.8833032306870865,0.0596754977143003,7.052218140450828,HIGH
:B2_7,2,3.987435049579169,1.8826969820074737,6.149567200499588,HIGH
A0B0,23,4.148957864528164,0.0,15.501540475245356,HIGH
:B1_22,6,4.549785740989179,1.7136848673922942,8.2443603370253,HIGH
B1B2,37,4.561365213047845,0.0,16.211341550750934,HIGH
:C1_10,6,4.653406438845529,1.432032869964367,7.043566434873572,HIGH
:B1_2,5,4.6874063716358645,2.5348523841938007,5.9416059088721775,HIGH
C1B1,25,4.705609268189495,0.0,15.97068919821604,HIGH
:B0_0,11,4.738834033616326,2.2497380850603803,7.029972116629994,HIGH
:B1_12,8,4.970985199939773,1.693661373062059,6.7188113224022015,HIGH
:B1_10,8,4.998069806254906,2.022130757151172,7.00930032184856,HIGH
:B0_4,3,5.006495154678716,1.6394309952156618,9.862595767576758,MEDIUM
:A1_0,3,5.081517768759832,1.7744676129426806,8.106454375395094,MEDIUM
:B1_18,2,5.1041494622302706,4.153079606546089,6.073951198835857,MEDIUM
:A1_3,12,5.110313723205949,1.954905465221964,6.523634311432793,MEDIUM
:B1_0,4,5.204339058184772,2.409448786545545,6.552218887882584,MEDIUM
:B0_11,12,5.216375739595289,1.3049637080868706,8.623811111362652,MEDIUM
:B1_4,11,5.2791161734772345,1.315991469891742,7.040063071986474,MEDIUM
:A2_0,17,5.292751007947601,4.113713251807906,6.495765014961206,MEDIUM
C0C1,16,5.3200156900553885,0.0,15.913844994486318,MEDIUM
:C0_1,13,5.383714981853077,4.50972829184913,6.545265211592138,MEDIUM
:A0_0,14,5.4056938726357195,4.457303226922095,6.330863315195338,MEDIUM
:B2_6,8,5.459343726999328,4.789624011260189,6.301825835092224,MEDIUM
:B2_9,6,5.494196721771177,1.420465051638894,7.525698216640762,MEDIUM
:B2_3,13,5.556602958557515,2.087591202859767,7.263886078547597,MEDIUM
C2B2,21,5.593733662360508,0.0,15.656257031833569,MEDIUM
:C1_0,9,5.639174363334676,4.464435016113385,7.323592673949092,MEDIUM
:B0_3,10,5.709771779122456,4.227356256457478,6.392124734045758,MEDIUM
:C1_6,8,5.829486683869874,4.372462607056625,7.236293585933588,MEDIUM
:C2_0,18,5.8582310310904635,4.882265081782474,6.847039637769201,MEDIUM
:A1_6,8,6.057735654006272,4.312334530751944,7.359256750278167,MEDIUM
:B0_1,7,6.091452974162902,1.7315199259668588,9.0803352817731,MEDIUM
B0B1,30,6.107299748764721,0.0,15.99222253852892,MEDIUM
B1C1,28,6.183339916315219,0.0,15.964643648484678,MEDIUM
:A1_9,11,6.197855200569463,2.0212538390943284,8.101859430478163,MEDIUM
B1B0,25,6.223631162882555,0.0,16.788334455225954,MEDIUM
:B2_4,13,6.353344552415508,2.231631210912019,8.753799001702854,MEDIUM
:B1_16,6,6.371962082551029,4.214869271963835,7.917656994099523,MEDIUM
:B1_9,14,6.424242878615674,1.5488222009502353,13.772373355145328,MEDIUM
:B1_8,4,6.441696651558888,5.996405172295242,6.810227321903004,MEDIUM
A1B1,30,6.514590129183253,0.0,16.230871339216687,MEDIUM
:A1_4,7,6.622724608054012,2.2748825538670645,8.499954061483033,MEDIUM
:B1_20,8,6.687296003642473,4.630821747240521,8.18847121661146,MEDIUM
:B2_0,3,6.848234025937268,1.8579025958507285,14.18472434237066,MEDIUM
:C1_7,9,6.862074410920707,2.145583342318423,8.562821526587008,MEDIUM
B2B1,27,6.8855924246117395,0.0,16.908478257620114,MEDIUM
:B1_5,8,6.979993846948734,2.1050755251199007,15.27628210934324,MEDIUM
:A1_7,3,7.077558391905397,1.3832218722673133,12.597618918536352,MEDIUM
C0B0,21,7.330533484137665,0.0,15.828344105192416,MEDIUM
:C1_3,3,7.50151622976028,2.399927636026405,14.793085260358254,MEDIUM
B1A1,32,7.649189559933337,0.0,16.096454212572098,MEDIUM
A2A1,29,7.710953927498815,0.0,16.049895713047363,MEDIUM
:B1_1,10,8.943302822155385,1.9066345664206892,16.887734060805627,MEDIUM
:B1_13,10,9.039937405446617,4.9636272338070455,15.32071703555104,MEDIUM
:B0_6,4,9.118566244611127,6.613380303491243,11.805480691806114,MEDIUM
:C1_1,6,9.132231782957804,1.5222682371968403,13.60025759423005,MEDIUM
A0A1,18,9.960441549183122,0.0,16.824927440170537,MEDIUM
A2B2,24,9.981042473145159,0.0,15.209644012389427,MEDIUM
C2C1,23,11.256956889643254,0.0,16.13599201891786,LOW
A1A2,22,11.48341822820535,2.132134181537781,15.886308262223572,LOW
B2C2,20,11.704075447600012,1.6931582521053306,16.148810243040607,LOW
B2A2,26,11.70759851457474,2.2799511456252635,16.294441156869063,LOW
C1C0,23,11.77220590148151,2.6351685110017287,16.017264751190275,LOW
B0A0,19,11.7773881339491,2.464168233814505,16.272667983504803,LOW
A1A0,20,12.38384257169965,2.384640196222328,15.61635540418461,LOW
C1C2,23,12.43875553492522,3.6324002995521942,15.609435372202723,LOW
B0C0,17,12.45076087167073,3.0198467246205736,16.029738280916767,LOW
