time,vehicle_id,road,speed
0,0,B2B1,13.89
1,0,B2B1,14.37
2,0,B2B1,13.99
2,1,A2B2,13.03
3,0,B2B1,14.07
3,1,A2B2,12.82
4,0,B2B1,14.71
4,1,A2B2,11.77
4,2,C0B0,13.89
5,0,B2B1,13.67
5,1,A2B2,12.22
5,2,C0B0,13.16
6,0,B2B1,13.52
6,1,A2B2,12.53
6,2,C0B0,12.94
6,3,C1C2,13.89
7,0,B2B1,13.53
7,1,A2B2,11.95
7,2,C0B0,14.02
7,3,C1C2,14.42
8,0,B2B1,14.25
8,1,A2B2,12.99
8,2,C0B0,13.83
8,3,C1C2,14.65
8,4,B1A1,13.89
9,0,B2B1,14.28
9,1,A2B2,11.74
9,2,C0B0,13.72
9,3,C1C2,13.77
9,4,B1A1,13.34
10,0,B2B1,13.76
10,1,A2B2,12.89
10,2,C0B0,13.85
10,3,C1C2,14.25
10,4,B1A1,13.35
10,5,A2A1,11.54
11,0,B2B1,13.44
11,1,A2B2,12.32
11,2,C0B0,13.48
11,3,C1C2,13.88
11,4,B1A1,13.44
11,5,A2A1,10.73
12,0,B2B1,14.49
12,1,A2B2,12.15
12,2,C0B0,13.4
12,3,C1C2,14.6
12,4,B1A1,13.48
12,5,A2A1,10.91
12,6,A0A1,13.89
13,0,:B1_1,14.1
13,1,A2B2,12.61
13,2,C0B0,13.47
13,3,C1C2,14.9
13,4,B1A1,13.69
13,5,A2A1,10.67
13,6,A0A1,13.59
14,0,B1B0,14.2
14,1,A2B2,12.43
14,2,C0B0,13.29
14,3,C1C2,13.95
14,4,B1A1,13.7
14,5,A2A1,10.84
14,6,A0A1,14.29
14,7,B2B1,12.31
15,0,B1B0,14.7
15,1,A2B2,11.87
15,2,C0B0,13.41
15,3,C1C2,14.68
15,4,B1A1,13.46
15,5,A2A1,11.12
15,6,A0A1,14.5
15,7,B2B1,12.08
16,0,B1B0,13.49
16,1,A2B2,12.54
16,2,C0B0,13.22
16,3,C1C2,14.7
16,4,B1A1,13.04
16,5,A2A1,11.39
16,6,A0A1,14.36
16,7,B2B1,11.46
16,8,A2A1,11.39
17,0,B1B0,14.32
17,1,A2B2,8.04
17,2,C0B0,13.33
17,3,C1C2,14.35
17,4,B1A1,14.05
17,5,A2A1,10.52
17,6,A0A1,14.39
17,7,B2B1,12.13
17,8,A2A1,13.01
18,0,B1B0,14.39
18,1,A2B2,3.54
18,2,C0B0,8.83
18,3,C1C2,14.17
18,4,B1A1,14.14
18,5,A2A1,11.15
18,6,A0A1,13.32
18,7,B2B1,11.99
18,8,A2A1,11.78
18,9,C1B1,11.9
19,0,B1B0,13.77
19,1,:B2_12,3.38
19,2,:B0_3,6.26
19,3,C1C2,10.42
19,4,B1A1,13.06
19,5,A2A1,10.79
19,6,A0A1,14.27
19,7,B2B1,11.14
19,8,A2A1,12.7
19,9,C1B1,11.77
20,0,B1B0,14.16
20,1,B2A2,2.58
20,10,C1B1,10.83
20,2,B0B1,6.48
20,3,:C2_0,6.13
20,4,B1A1,13.72
20,5,A2A1,11.43
20,6,A0A1,14.45
20,7,B2B1,12.04
20,8,A2A1,12.61
20,9,C1B1,10.83
21,0,B1B0,13.63
21,1,B2A2,4.12
21,10,C1B1,11.61
21,2,B0B1,8.48
21,3,C2B2,6.3
21,4,B1A1,9.71
21,5,A2A1,11.18
21,6,A0A1,13.98
21,7,B2B1,11.41
21,8,A2A1,12.4
21,9,C1B1,11.36
22,0,B1B0,13.68
22,1,B2A2,5.52
22,10,C1B1,11.62
22,2,B0B1,9.91
22,3,C2B2,7.68
22,4,B1A1,5.21
22,5,A2A1,10.83
22,6,A0A1,14.24
22,7,B2B1,12.14
22,8,A2A1,11.77
22,9,C1B1,11.34
23,0,B1B0,14.38
23,1,B2A2,7.56
23,10,C1B1,11.23
23,11,B0B1,12.34
23,2,B0B1,12.34
23,3,C2B2,9.01
23,4,B1A1,1.18
23,5,A2A1,10.7
23,6,A0A1,14.4
23,7,B2B1,11.14
23,8,A2A1,12.02
23,9,C1B1,11.56
24,0,B1B0,13.62
24,1,B2A2,9.13
24,10,C1B1,11.67
24,11,B0B1,13.97
24,12,C2B2,10.45
24,2,B0B1,13.44
24,3,C2B2,10.45
24,4,B1A1,0.9
24,5,A2A1,10.43
24,6,A0A1,14.22
24,7,B2B1,12.23
24,8,A2A1,12.76
24,9,C1B1,11.57
25,0,B1B0,14.17
25,1,B2A2,10.85
25,10,C1B1,12.13
25,11,B0B1,13.95
25,12,C2B2,12.62
25,2,B0B1,13.12
25,3,C2B2,12.99
25,4,B1A1,0.01
25,5,A2A1,11.22
25,6,A0A1,10.34
25,7,B2B1,11.86
25,8,A2A1,12.2
25,9,C1B1,11.81
26,0,B1B0,13.19
26,1,B2A2,12.17
26,10,C1B1,11.72
26,11,B0B1,13.24
26,12,C2B2,13.23
26,13,A1A0,13.89
26,2,B0B1,13.35
26,3,C2B2,14.13
26,4,B1A1,0.0
26,5,A2A1,10.53
26,6,:A1_6,6.69
26,7,B2B1,12.04
26,8,A2A1,12.95
26,9,C1B1,11.84
27,0,B1B0,8.89
27,1,B2A2,12.73
27,10,C1B1,12.04
27,11,B0B1,13.96
27,12,C2B2,13.77
27,13,A1A0,15.41
27,2,B0B1,13.61
27,3,C2B2,14.49
27,4,B1A1,0.0
27,5,A2A1,8.43
27,6,:A1_6,5.61
27,7,B2B1,12.27
27,8,A2A1,12.93
27,9,C1B1,11.52
28,0,B1B0,5.23
28,1,B2A2,12.69
28,10,C1B1,11.29
28,11,B0B1,13.04
28,12,C2B2,13.47
28,13,A1A0,14.45
28,14,C1C0,13.77
28,2,B0B1,13.86
28,3,C2B2,14.03
28,4,B1A1,0.0
28,5,:A1_1,4.44
28,6,A1B1,6.25
28,7,B2B1,11.79
28,8,A2A1,12.42
28,9,C1B1,10.99
29,0,B1B0,1.02
29,1,B2A2,12.57
29,10,C1B1,10.93
29,11,B0B1,13.32
29,12,C2B2,13.88
29,13,A1A0,15.43
29,14,C1C0,13.09
29,2,B0B1,13.75
29,3,C2B2,14.42
29,4,B1A1,0.0
29,5,:A1_9,6.39
29,6,A1B1,8.47
29,7,B2B1,9.67
29,8,A2A1,12.48
29,9,C1B1,11.03
30,0,B1B0,0.26
30,1,B2A2,12.36
30,10,C1B1,11.56
30,11,B0B1,13.69
30,12,C2B2,13.32
30,13,A1A0,15.12
30,14,C1C0,12.89
30,15,C1B1,11.72
30,2,B0B1,12.9
30,3,C2B2,14.66
30,4,B1A1,0.0
30,5,A1B1,5.48
30,6,A1B1,10.98
30,7,:B1_2,5.62
30,8,A2A1,12.14
30,9,C1B1,11.87
31,0,B1B0,0.18
31,1,B2A2,12.74
31,10,C1B1,11.6
31,11,B0B1,13.88
31,12,C2B2,14.3
31,13,A1A0,14.79
31,14,C1C0,13.17
31,15,C1B1,12.3
31,2,B0B1,13.51
31,3,C2B2,14.99
31,4,B1A1,0.0
31,5,A1B1,7.77
31,6,A1B1,13.32
31,7,:B1_16,6.0
31,8,A2A1,8.45
31,9,C1B1,11.62
32,0,B1B0,0.02
32,1,B2A2,12.88
32,10,C1B1,11.18
32,11,B0B1,13.73
32,12,C2B2,13.5
32,13,A1A0,15.55
32,14,C1C0,13.61
32,15,C1B1,12.8
32,16,B1B2,12.2
32,2,B0B1,13.54
32,3,C2B2,14.4
32,4,B1A1,0.0
32,5,A1B1,9.58
32,6,A1B1,14.26
32,7,:B1_16,6.95
32,8,:A1_1,4.6
32,9,C1B1,11.61
33,0,B1B0,0.0
33,1,B2A2,12.68
33,10,C1B1,12.49
33,11,B0B1,13.88
33,12,C2B2,14.27
33,13,A1A0,14.91
33,14,C1C0,13.37
33,15,C1B1,12.32
33,16,B1B2,11.78
33,2,B0B1,13.43
33,3,C2B2,14.23
33,4,B1A1,0.0
33,5,A1B1,10.69
33,6,A1B1,13.29
33,7,B1C1,6.28
33,8,:A1_9,6.04
