time,average_speed,vehicle_count,congestion
0,13.89,1,LOW
1,14.37,1,LOW
2,13.51,2,LOW
3,13.44,2,LOW
4,13.46,3,LOW
5,13.02,3,LOW
6,13.22,4,LOW
7,13.48,4,LOW
8,13.92,5,LOW
9,13.37,5,LOW
10,13.27,6,LOW
11,12.88,6,LOW
12,13.27,7,LOW
13,13.16,6,LOW
14,13.13,8,LOW
15,13.23,8,LOW
16,12.84,9,LOW
17,12.68,9,LOW
18,11.52,10,MEDIUM
19,12.24,8,LOW
20,10.91,10,MEDIUM
21,10.38,11,MEDIUM
22,10.36,11,MEDIUM
23,10.66,12,MEDIUM
24,11.14,13,MEDIUM
25,11.33,13,MEDIUM
26,11.71,13,MEDIUM
27,11.54,13,MEDIUM
28,10.95,14,MEDIUM
29,10.72,14,MEDIUM
30,10.6,15,MEDIUM
31,10.84,15,MEDIUM
32,11.26,15,MEDIUM
33,10.9,16,MEDIUM
34,10.62,18,MEDIUM
35,10.26,17,MEDIUM
36,9.36,18,MEDIUM
37,9.41,18,MEDIUM
38,9.42,18,MEDIUM
39,9.4,17,MEDIUM
40,9.59,19,MEDIUM
41,9.76,20,MEDIUM
42,9.58,19,MEDIUM
43,9.61,20,MEDIUM
44,10.18,20,MEDIUM
45,11.05,18,MEDIUM
46,10.74,20,MEDIUM
47,10.65,21,MEDIUM
48,11.0,21,MEDIUM
49,10.88,19,MEDIUM
50,10.32,21,MEDIUM
51,10.17,20,MEDIUM
52,10.41,21,MEDIUM
53,10.04,23,MEDIUM
54,10.11,23,MEDIUM
55,10.37,23,MEDIUM
56,10.76,22,MEDIUM
57,10.5,24,MEDIUM
58,10.8,25,MEDIUM
59,11.03,25,MEDIUM
60,10.85,26,MEDIUM
61,10.64,26,MEDIUM
62,10.54,27,MEDIUM
63,10.77,25,MEDIUM
64,10.04,29,MEDIUM
65,9.87,28,MEDIUM
66,9.42,29,MEDIUM
67,8.83,30,MEDIUM
68,8.55,28,MEDIUM
69,8.32,27,MEDIUM
70,8.16,31,MEDIUM
71,8.45,30,MEDIUM
72,8.64,32,MEDIUM
73,8.53,30,MEDIUM
74,8.27,30,MEDIUM
75,8.39,31,MEDIUM
76,8.77,31,MEDIUM
77,8.81,31,MEDIUM
78,8.72,31,MEDIUM
79,8.3,30,MEDIUM
80,8.12,29,MEDIUM
81,7.57,32,MEDIUM
82,7.45,32,MEDIUM
83,7.21,31,MEDIUM
84,7.5,33,MEDIUM
85,6.99,34,MEDIUM
86,7.18,34,MEDIUM
87,6.73,35,MEDIUM
88,6.72,34,MEDIUM
89,6.5,35,MEDIUM
90,7.7,30,MEDIUM
91,7.65,29,MEDIUM
92,7.62,31,MEDIUM
93,8.01,32,MEDIUM
94,8.62,31,MEDIUM
95,8.8,33,MEDIUM
96,9.37,35,MEDIUM
97,9.52,34,MEDIUM
98,9.58,34,MEDIUM
99,9.42,36,MEDIUM
