time,average_speed,vehicle_count,congestion
1.0,13.89,1,LOW
2.0,14.37114173658807,1,LOW
3.0,13.509508196336633,2,LOW
4.0,13.448224305445276,2,LOW
5.0,13.459055398665335,3,LOW
6.0,13.018463750678,3,LOW
7.0,13.21957039315082,4,LOW
8.0,13.479223211268407,4,LOW
9.0,13.92043737447204,5,LOW
10.0,13.37113201192735,5,LOW
11.0,13.27441302611531,6,LOW
12.0,12.881331220318481,6,LOW
13.0,13.27590968428279,7,LOW
14.0,13.289563477284403,7,LOW
15.0,13.12635567366331,8,LOW
16.0,13.22853528722724,8,LOW
17.0,12.841328686066753,9,LOW
18.0,12.68226590691272,9,LOW
19.0,11.521869276238911,10,LOW
20.0,10.756569040645314,10,LOW
21.0,10.477284145488936,11,LOW
22.0,10.379599020553322,11,LOW
23.0,10.358834597327503,11,LOW
24.0,10.654377162586075,12,LOW
25.0,11.140401677009898,13,LOW
26.0,11.329110851936253,13,LOW
27.0,11.355504296151182,14,LOW
28.0,11.119261653510833,14,LOW
29.0,10.51410174362752,15,LOW
30.0,10.429196519240252,15,LOW
31.0,10.286693800792387,16,LOW
32.0,10.539390134741707,16,LOW
33.0,10.613418316136908,17,LOW
34.0,10.612277546678543,17,LOW
35.0,10.61803060813588,18,LOW
36.0,10.453165454724905,18,LOW
37.0,9.613644651173928,19,MEDIUM
38.0,9.285471937962395,19,MEDIUM
39.0,9.104557671536858,20,MEDIUM
40.0,8.911668019629964,19,MEDIUM
41.0,9.422308138961762,20,MEDIUM
42.0,9.76340555804458,20,MEDIUM
43.0,9.58301128839934,19,MEDIUM
44.0,9.615019462133903,20,MEDIUM
45.0,9.82390573226324,21,MEDIUM
46.0,9.808811609746238,21,MEDIUM
47.0,10.11656142126017,22,LOW
48.0,10.44182171963136,22,LOW
49.0,10.513860758447455,23,LOW
50.0,10.012383379061962,22,LOW
51.0,9.667310408938658,23,MEDIUM
52.0,9.368783014113154,23,MEDIUM
53.0,9.454783308505382,24,MEDIUM
54.0,9.617222758422757,24,MEDIUM
55.0,9.554230478652647,25,MEDIUM
56.0,9.708475777635558,25,MEDIUM
57.0,9.851725430744837,25,MEDIUM
58.0,10.16943020317497,25,LOW
59.0,10.568134097548684,26,LOW
60.0,10.728433143497217,26,LOW
61.0,10.643031973947545,27,LOW
62.0,10.515422472448963,27,LOW
63.0,10.38729171721333,28,LOW
64.0,10.097027079122366,28,LOW
65.0,10.0426524696439,29,LOW
66.0,9.773788883686562,29,MEDIUM
67.0,9.247751304771947,30,MEDIUM
68.0,8.825911405771157,30,MEDIUM
69.0,8.38544728906945,30,MEDIUM
70.0,8.285741757093737,30,MEDIUM
71.0,8.156987516771826,31,MEDIUM
72.0,8.353985509735045,31,MEDIUM
73.0,8.639274099915413,32,MEDIUM
74.0,8.48746441221878,31,MEDIUM
75.0,8.13518117332496,32,MEDIUM
76.0,8.204867625983441,32,MEDIUM
77.0,8.474860165436354,33,MEDIUM
78.0,8.557664951612919,32,MEDIUM
79.0,8.447867151087852,32,MEDIUM
80.0,8.054070209842171,32,MEDIUM
81.0,7.856593229839246,32,MEDIUM
82.0,7.56750135242466,32,MEDIUM
83.0,7.452980160449242,32,MEDIUM
84.0,7.21419846798136,32,MEDIUM
85.0,7.475222407979773,34,MEDIUM
86.0,6.991120744515268,34,MEDIUM
87.0,7.048302131263884,35,MEDIUM
88.0,6.729189433346623,35,MEDIUM
89.0,6.6849653526800425,35,MEDIUM
90.0,6.495689853817355,35,MEDIUM
91.0,6.753890464703527,36,MEDIUM
92.0,7.0243161597827735,35,MEDIUM
93.0,7.355433028338776,35,MEDIUM
94.0,7.711629036450925,35,MEDIUM
95.0,8.209815584761845,36,MEDIUM
96.0,8.523168272548359,37,MEDIUM
97.0,9.038858072982377,38,MEDIUM
98.0,9.098025502482818,37,MEDIUM
99.0,9.051967962006108,38,MEDIUM
100.0,9.197335226356916,38,MEDIUM
101.0,9.231916403670228,38,MEDIUM
102.0,9.711769011056893,38,MEDIUM
103.0,10.14731155406503,39,LOW
104.0,10.47606574126275,40,LOW
105.0,10.774467730346894,41,LOW
106.0,10.857273338534588,40,LOW
107.0,11.028463705495902,41,LOW
108.0,10.845344365363989,41,LOW
109.0,10.716942387183671,41,LOW
110.0,10.255981753032078,40,LOW
111.0,9.992635887555572,41,MEDIUM
112.0,9.72326091396273,41,MEDIUM
113.0,9.149877434514137,42,MEDIUM
114.0,8.653600455437243,42,MEDIUM
115.0,8.235234325117604,42,MEDIUM
116.0,7.6116627081892645,41,MEDIUM
117.0,7.415140470643012,42,MEDIUM
118.0,7.107034820170154,42,MEDIUM
119.0,7.083388076522099,43,MEDIUM
120.0,6.664835181353193,42,MEDIUM
121.0,6.562733452367056,42,MEDIUM
122.0,6.6376894571005405,43,MEDIUM
123.0,6.5465812517982105,43,MEDIUM
124.0,6.65331796491536,44,MEDIUM
125.0,6.793362659203036,45,MEDIUM
126.0,6.675635058476316,44,MEDIUM
127.0,6.835813166846932,45,MEDIUM
128.0,6.458866211716034,44,MEDIUM
129.0,6.344648582303256,45,MEDIUM
130.0,6.2649709931189905,45,MEDIUM
131.0,6.173535003386294,46,MEDIUM
132.0,5.981914274135896,46,MEDIUM
133.0,5.974186001694126,47,MEDIUM
134.0,5.909414859319106,46,MEDIUM
135.0,6.028616701861388,47,MEDIUM
136.0,5.6920684809622575,45,MEDIUM
137.0,5.651526717543104,45,MEDIUM
138.0,5.902812107025886,45,MEDIUM
139.0,6.031953748432448,45,MEDIUM
140.0,6.501471544152606,45,MEDIUM
141.0,6.860290434137165,45,MEDIUM
142.0,7.343147478542763,45,MEDIUM
143.0,7.894885352669376,46,MEDIUM
144.0,8.124262186670306,46,MEDIUM
145.0,8.165601614338414,47,MEDIUM
146.0,8.277288531029138,47,MEDIUM
147.0,8.590140941227451,48,MEDIUM
148.0,8.614285476186073,48,MEDIUM
149.0,8.614366871833786,48,MEDIUM
150.0,8.557796207602822,48,MEDIUM
151.0,8.862651748328533,49,MEDIUM
152.0,8.803180364550062,49,MEDIUM
153.0,8.641716353358465,49,MEDIUM
154.0,8.699126880828466,50,MEDIUM
155.0,8.440090725727403,50,MEDIUM
156.0,8.165341153411976,50,MEDIUM
157.0,7.9637992831870505,50,MEDIUM
158.0,7.932720620031761,51,MEDIUM
159.0,7.8736750429132,49,MEDIUM
160.0,7.762126853553534,49,MEDIUM
161.0,7.405985746407545,51,MEDIUM
162.0,7.674091755575437,51,MEDIUM
163.0,7.898376685212411,51,MEDIUM
164.0,8.086227956574755,51,MEDIUM
165.0,8.176661437972289,51,MEDIUM
166.0,7.8807848222239825,48,MEDIUM
167.0,7.743425416867409,48,MEDIUM
168.0,7.31466815482568,47,MEDIUM
169.0,7.016674108556412,47,MEDIUM
170.0,6.918749512769868,47,MEDIUM
171.0,7.008633581417673,47,MEDIUM
172.0,6.881715069573436,47,MEDIUM
173.0,6.8611708482542575,48,MEDIUM
174.0,6.715002239559064,47,MEDIUM
175.0,6.3171762410351375,48,MEDIUM
176.0,6.33302763547092,48,MEDIUM
177.0,6.169440053605051,50,MEDIUM
178.0,5.965890627844476,50,MEDIUM
179.0,5.9158683301107375,51,MEDIUM
180.0,5.837354171434235,51,MEDIUM
181.0,5.950504747384826,50,MEDIUM
182.0,6.391489419963632,50,MEDIUM
183.0,6.634172494894604,51,MEDIUM
184.0,6.729838417240575,50,MEDIUM
185.0,6.858533909845648,50,MEDIUM
186.0,6.962863330387841,49,MEDIUM
187.0,7.0099041162476325,50,MEDIUM
188.0,7.159134406341005,49,MEDIUM
189.0,7.091646425805268,50,MEDIUM
190.0,7.265784892228798,49,MEDIUM
191.0,7.526366426874866,48,MEDIUM
192.0,7.633869073909939,48,MEDIUM
193.0,7.531409447269201,48,MEDIUM
194.0,7.695675233392511,48,MEDIUM
195.0,7.907808480955922,49,MEDIUM
196.0,8.062631835212057,49,MEDIUM
197.0,8.137334871695405,50,MEDIUM
198.0,7.866760552561898,50,MEDIUM
199.0,7.626180922182163,50,MEDIUM
200.0,7.445076936400128,50,MEDIUM
201.0,7.554614146112481,49,MEDIUM
202.0,7.7203750762742365,49,MEDIUM
203.0,7.892319608109666,50,MEDIUM
204.0,7.699952848946639,50,MEDIUM
205.0,7.494032474739903,49,MEDIUM
206.0,7.530156992020388,50,MEDIUM
207.0,7.710684514471215,50,MEDIUM
208.0,7.792541592640407,50,MEDIUM
209.0,7.697462497809026,49,MEDIUM
210.0,7.536836465380354,50,MEDIUM
211.0,7.712644474790706,50,MEDIUM
212.0,8.013282723936547,50,MEDIUM
213.0,7.882672138407258,51,MEDIUM
214.0,7.685933521275151,51,MEDIUM
215.0,7.410804985437559,51,MEDIUM
216.0,7.321336322710117,51,MEDIUM
217.0,6.885500510998831,50,MEDIUM
218.0,6.8239648224357214,50,MEDIUM
219.0,6.915109997642822,51,MEDIUM
220.0,6.628323039401673,50,MEDIUM
221.0,6.665048661215673,50,MEDIUM
222.0,6.582695808164537,51,MEDIUM
223.0,6.49610889932022,52,MEDIUM
224.0,6.265682247328964,52,MEDIUM
225.0,6.073629313303827,52,MEDIUM
226.0,6.1844612764093005,52,MEDIUM
227.0,6.156206496566601,52,MEDIUM
228.0,6.424860713884285,52,MEDIUM
